U,V
2.750162,-0.4
2.650162,-0.4
2.650162,-0.5
2.650162,-0.6
2.650162,-0.7
2.650162,-0.7
2.650162,-0.8
2.550162,-0.9
2.550162,-0.9
2.550162,-1
2.550162,-1.1
2.450162,-1.1
2.450162,-1.2
2.450162,-1.3
2.350162,-1.3
2.350162,-1.4
2.350162,-1.4
2.250162,-1.5
2.250162,-1.6
2.250162,-1.6
2.150162,-1.7
2.150162,-1.7
2.050162,-1.8
2.050162,-1.8
1.950162,-1.9
1.950162,-1.9
1.850162,-2
1.850162,-2
1.750162,-2.1
1.750162,-2.1
1.650162,-2.2
1.550162,-2.2
1.550162,-2.3
1.450162,-2.3
1.450162,-2.3
1.350162,-2.4
1.250162,-2.4
1.250162,-2.4
1.150162,-2.5
1.150162,-2.5
1.050162,-2.5
0.9501618,-2.6
0.9501618,-2.6
0.8501617,-2.6
0.7501618,-2.6
0.6501617,-2.6
0.6501617,-2.7
0.5501618,-2.7
0.4501618,-2.7
0.4501618,-2.7
0.3501618,-2.7
0.2501617,-2.7
0.2501617,-2.7
0.1501617,-2.7
0.05016175,-2.7
-0.04983826,-2.7
-0.04983826,-2.7
-0.1498383,-2.7
-0.2498383,-2.7
-0.2498383,-2.7
-0.3498383,-2.7
-0.4498383,-2.7
-0.5498382,-2.7
-0.5498382,-2.7
-0.6498383,-2.7
-0.7498383,-2.6
-0.7498383,-2.6
-0.8498383,-2.6
6.850162,-2.9
6.650162,-3.1
6.450162,-3.2
6.250162,-3.4
6.050162,-3.5
5.850162,-3.7
5.650162,-3.7
5.450162,-3.9
5.250162,-4
5.050162,-4.1
4.850162,-4.1
4.650162,-4.2
4.350162,-4.3
4.150162,-4.3
3.950162,-4.4
3.750162,-4.4
3.550162,-4.4
3.350162,-4.5
3.050162,-4.4
2.950162,-4.5
2.650162,-4.4
2.550162,-4.4
2.250162,-4.4
2.150162,-4.4
1.850162,-4.3
1.750162,-4.3
1.550162,-4.2
1.350162,-4.2
1.150162,-4.1
1.050162,-4.1
0.8501617,-4
0.6501617,-3.9
0.5501618,-3.8
0.4501618,-3.8
0.2501617,-3.6
0.1501617,-3.6
0.05016175,-3.4
-0.1498383,-3.4
-0.2498383,-3.2
-0.3498383,-3.2
-0.4498383,-3
-0.5498382,-2.9
-0.6498383,-2.8
-0.7498383,-2.7
-0.7498383,-2.6
-0.8498383,-2.5
-0.9498383,-2.3
-0.9498383,-2.3
-1.049838,-2.1
-1.049838,-2
-1.149838,-1.9
-1.149838,-1.8
-1.249838,-1.7
-1.249838,-1.6
-1.249838,-1.4
-1.249838,-1.3
-1.249838,-1.2
-1.249838,-1.1
-1.249838,-1
-1.249838,-0.9
-1.249838,-0.8
-1.249838,-0.7
-1.149838,-0.6
-1.149838,-0.5
-1.149838,-0.4
-1.049838,-0.3
-1.049838,-0.2
-0.9498383,-0.2
11.05016,-6.3
10.65016,-6.6
10.25016,-6.8
9.850162,-7
9.350162,-7.1
8.950162,-7.3
8.450162,-7.4
